Entry,Entry.Name,Protein.names,Reviewed,ComplexPortal,OrthoDB
A0M8Q6,IGLC7_HUMAN,Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region),reviewed,CPX-6910;CPX-6927;CPX-6935;CPX-6942;CPX-6948;CPX-6954;CPX-6961;CPX-6967;CPX-6974;,9049585at2759;
P0DOY3,IGLC3_HUMAN,Immunoglobulin lambda constant 3 (Ig lambda chain C region DOT) (Ig lambda chain C region NEWM) (Ig lambda-3 chain C regions),reviewed,CPX-6908;CPX-6925;CPX-6933;CPX-6940;CPX-6946;CPX-6952;CPX-6959;CPX-6965;CPX-6972;,9049585at2759;
Q6ZNX1,SHLD3_HUMAN,Shieldin complex subunit 3 (REV7-interacting novel NHEJ regulator 1) (Shield complex subunit 3),reviewed,CPX-3481;,5963356at2759;
P0CG04,IGLC1_HUMAN,Immunoglobulin lambda constant 1 (Ig lambda chain C region MGC) (Ig lambda-1 chain C region),reviewed,CPX-6906;CPX-6922;CPX-6931;CPX-6938;CPX-6944;CPX-6950;CPX-6956;CPX-6963;CPX-6970;,9049585at2759;
P01850,TRBC1_HUMAN,T cell receptor beta constant 1,reviewed,CPX-6581;,9049585at2759;
P01848,TRAC_HUMAN,T cell receptor alpha chain constant,reviewed,CPX-6482;CPX-6581;,8947657at2759;
A8MW99,MEI4_HUMAN,Meiosis-specific protein MEI4,reviewed,CPX-2358;,6351423at2759;
A9UHW6,MI4GD_HUMAN,MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1),reviewed,CPX-1313;,6357832at2759;
P0DI82,TPC2B_HUMAN,Trafficking protein particle complex subunit 2B (MBP-1-interacting protein 2A) (MIP-2A),reviewed,CPX-6902;CPX-6903;,9507739at2759;
Q3MUY2,PIGY_HUMAN,Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y (Phosphatidylinositol-glycan biosynthesis class Y protein) (PIG-Y),reviewed,CPX-6502;,8902753at2759;
Q86UC2,RSPH3_HUMAN,Radial spoke head protein 3 homolog (A-kinase anchor protein RSPH3) (Radial spoke head-like protein 2),reviewed,CPX-8163;CPX-8164;,313308at2759;
